,subject,relation,object,subject_type,object_type
134,level,resolution reading,progress,NOUN_CHUNK,NOUN_CHUNK
135,Invasive,Move,cursor control a.,NOUN_CHUNK,NOUN_CHUNK
136,Biocomputing,includes,use,ORG,NOUN_CHUNK
137,DNA,store,5.5 petabits,NOUN_CHUNK,NOUN_CHUNK
138,Scientific breakthroughs,laid,foundation,NOUN_CHUNK,NOUN_CHUNK
139,research,give,idea,NOUN_CHUNK,NOUN_CHUNK
140,evolution,heralded,paradigm shift,NOUN_CHUNK,NOUN_CHUNK
141,animal hide.95 startup Tandem Repeat,produces,repairing,NOUN_CHUNK,NOUN_CHUNK
142,biotech company,creating,renewable biomaterials,NOUN_CHUNK,NOUN_CHUNK
143,growth factors.98 Amyris,produces,moisturizing oil,NOUN_CHUNK,NOUN_CHUNK
144,companies,using,genetically engineered microbes,NOUN_CHUNK,NOUN_CHUNK
145,startup,using,microorganisms,NOUN_CHUNK,NOUN_CHUNK
146,researchers,have,significant scope,NOUN_CHUNK,NOUN_CHUNK
147,RNAi insecticide,and Aggie Mika,101,NOUN_CHUNK,CARDINAL
148,Biological sciences,helping,challenge,NOUN_CHUNK,NOUN_CHUNK
149,Gene therapies,offer,complete cures,NOUN_CHUNK,NOUN_CHUNK
150,Biology,offers,solution,NOUN_CHUNK,NOUN_CHUNK
151,DNA,store,current data,NOUN_CHUNK,NOUN_CHUNK
152,Deep brain stimulation,improves,depression symptoms,NOUN_CHUNK,NOUN_CHUNK
153,DNA,Andy Extance,world data,NOUN_CHUNK,NOUN_CHUNK
154,emerging capabilities,touch,multiple domains,NOUN_CHUNK,NOUN_CHUNK
155,Revolution,discussed,in.the section,NOUN_CHUNK,NOUN_CHUNK
156,Biology,preserve,life,NOUN_CHUNK,NOUN_CHUNK
157,risks,demand,considered response,NOUN_CHUNK,NOUN_CHUNK
158,Genetic editing,raises,risk,NOUN_CHUNK,NOUN_CHUNK
159,interconnected nature,increase,potential,NOUN_CHUNK,NOUN_CHUNK
160,Changes,have,cascading effects,NOUN_CHUNK,NOUN_CHUNK
161,Successful gene editing,have,effects,NOUN_CHUNK,NOUN_CHUNK
162,Gene therapies,have,effects,NOUN_CHUNK,NOUN_CHUNK
163,Low barriers,open,door,NOUN_CHUNK,NOUN_CHUNK
164,Scientific advances,raising,significant ethical questions,NOUN_CHUNK,NOUN_CHUNK
165,interface technologies,pose,risks,ORG,NOUN_CHUNK
166,signals,result,information,NOUN_CHUNK,NOUN_CHUNK
167,States,costs,$2.1 million,NOUN_CHUNK,MONEY
168,unique risks,demand,considered response,NOUN_CHUNK,NOUN_CHUNK
169,Scientists,play,role,NOUN_CHUNK,NOUN_CHUNK
170,search,covered,ongoing trials,NOUN_CHUNK,NOUN_CHUNK
171,AveXis,announces,innovative Zolgensma gene therapy access programs,ORG,NOUN_CHUNK
172,Molecular safeguarding,eLife,experiments,NOUN_CHUNK,NOUN_CHUNK
173,biology,fact,borders,NOUN_CHUNK,NOUN_CHUNK
174,country,affect,neighboring countries,NOUN_CHUNK,NOUN_CHUNK
175,President Barack Obama,convened,commission,PERSON,NOUN_CHUNK
176,governments,regulatory “race,approach,NOUN_CHUNK,NOUN_CHUNK
177,governments,follow,suit,NOUN_CHUNK,NOUN_CHUNK
178,journey,take,years,NOUN_CHUNK,DATE
179,library,exhaustive,idea,NOUN_CHUNK,NOUN_CHUNK
180,visible pipeline,have,broad impact,NOUN_CHUNK,NOUN_CHUNK
181,applications,growth,sufficient scientific underpinnings,NOUN_CHUNK,NOUN_CHUNK
182,Biological applications,unlock,an estimated $2 trillion to $4 trillion,NOUN_CHUNK,MONEY
183,applications,have,direct annual economic impact,NOUN_CHUNK,NOUN_CHUNK
184,experts,understand,economic potential adoption timing,NOUN_CHUNK,NOUN_CHUNK
185,Impact                  Value,gain,drivers,NOUN_CHUNK,NOUN_CHUNK
186,visible pipeline,create,approximately.$2 trillion to $4 trillion,NOUN_CHUNK,MONEY
187,Estimates,represent,GDP,NOUN_CHUNK,NOUN_CHUNK
188,impact estimates,reflect,uncertainties,NOUN_CHUNK,NOUN_CHUNK
189,scale,dominate,impact,NOUN_CHUNK,NOUN_CHUNK
190,large libraries,enable,farming,NOUN_CHUNK,NOUN_CHUNK
191,Exhibit,make,biggest share,NOUN_CHUNK,NOUN_CHUNK
192,Estimates,represent,GDP,NOUN_CHUNK,NOUN_CHUNK
193,Human health,have,scientific advances,NOUN_CHUNK,NOUN_CHUNK
194,Applications,include,cell,NOUN_CHUNK,NOUN_CHUNK
195,advances,have,significant spillover effects,NOUN_CHUNK,NOUN_CHUNK
196,longer life spans,affect,life insurance industry,NOUN_CHUNK,NOUN_CHUNK
197,Applications,include,innovative ways,NOUN_CHUNK,NOUN_CHUNK
198,Novel plant based meats,see,adoption,NOUN_CHUNK,NOUN_CHUNK
199,Cultured meat,hit,market,NOUN_CHUNK,NOUN_CHUNK
200,Applications,include,innovations,NOUN_CHUNK,NOUN_CHUNK
201,Applications,include,biosequestration,NOUN_CHUNK,NOUN_CHUNK
202,core areas adoption,face,significant ethical hurdles,NOUN_CHUNK,NOUN_CHUNK
203,biomachine interfaces,create,impact,NOUN_CHUNK,NOUN_CHUNK
204,Estimates,represent,GDP,NOUN_CHUNK,NOUN_CHUNK
205,factors,shape,extent,NOUN_CHUNK,NOUN_CHUNK
