,index,entities,labels,size
278,1124,up to $2 trillion,MONEY,2
279,601,Intermediate,PRODUCT,2
280,84,100 Mbps,QUANTITY,2
281,893,World Bank Group,ORG,2
282,777,San Francisco,GPE,2
283,367,89,CARDINAL,2
284,368,89,DATE,2
285,370,90 percent,PERCENT,2
286,372,90-95,CARDINAL,2
287,49,0.1 0.5,CARDINAL,2
288,374,92,CARDINAL,2
289,375,93,CARDINAL,2
290,551,"Frontier

                                   High-band",ORG,2
291,591,ITU,ORG,2
292,381,97,CARDINAL,2
293,383,98,DATE,2
294,297,59,DATE,2
295,880,WCIS,ORG,2
296,295,58,CARDINAL,2
297,863,United Nations,ORG,2
298,1100,the past few years,DATE,2
299,680,Mbpx,PERSON,2
300,1038,some $1.5 trillion to $2 trillion,MONEY,2
301,172,"2030
%",PERCENT,2
302,14,$250 billion to $420 billion,MONEY,2
303,487,December 2015,DATE,2
304,485,Davide Schiavotto,PERSON,2
305,724,November 2017,DATE,2
306,1003,only 2,CARDINAL,2
307,1054,some 70 percent,PERCENT,2
308,224,35,CARDINAL,2
309,18,$400 billion to $650 billion,MONEY,2
310,240,4.5,CARDINAL,2
311,1000,one-third,CARDINAL,2
312,726,November 2019,DATE,2
313,727,OECD,ORG,2
314,165,2023,DATE,2
315,245,40 to 50 percent,PERCENT,2
316,1099,the past decade,DATE,2
317,19,$420 billion to $700 billion,MONEY,2
318,683,McKinsey & Company’s,ORG,2
319,10,$20 billion,MONEY,2
320,866,United States,GPE,2
321,694,McKinsey Quarterly,ORG,2
322,702,Michael Minges,PERSON,2
323,187,25,CARDINAL,2
324,196,284,CARDINAL,2
325,1106,the years ahead,DATE,2
326,201,2–51,CARDINAL,2
327,184,23,CARDINAL,2
328,713,"NB-IoT, Sigfox",ORG,2
329,205,3-D bin,PERSON,2
330,1019,recent years,DATE,2
331,63,1 millisecond,QUANTITY,2
332,858,UNESCO,ORG,2
333,210,3.x,CARDINAL,2
334,716,National Census Bureaus,ORG,2
335,213,30 to 40 percent,PERCENT,2
336,180,21,DATE,2
337,516,Eric Kutcher,PERSON,2
338,8,$170 billion to $280 billion,MONEY,2
339,719,Nigeria,GPE,2
340,219,31,CARDINAL,2
341,1012,parc,ORG,2
342,731,OVUM,ORG,2
343,417,App,PRODUCT,2
344,732,October 2017,DATE,2
345,979,million,CARDINAL,2
346,272,5.0,CARDINAL,2
347,274,5.5 percent,PERCENT,2
348,733,October 2018,DATE,2
349,1050,some $700 billion to $900 billion,MONEY,2
350,826,Telecommunications,ORG,2
351,279,50 milliseconds,TIME,2
352,645,Kroger,ORG,2
353,644,Korea,GPE,2
354,283,51,CARDINAL,2
355,653,LPWAN,ORG,2
356,285,52,DATE,2
357,978,millimeter,QUANTITY,2
358,287,53,CARDINAL,2
359,288,54,CARDINAL,2
360,70,1.2,MONEY,2
361,748,Paris,GPE,2
362,292,55 percent,PERCENT,2
363,144,20-30%,PERCENT,2
364,149,2012 to 2018,DATE,2
365,54,0.4,CARDINAL,2
366,478,Cross,ORG,2
367,151,2015,DATE,2
368,988,more than 60 percent,PERCENT,2
369,833,Thailand,GPE,2
370,734,October 2019,DATE,2
371,656,Latencies,PERSON,2
372,739,OneWeb,ORG,2
373,662,LoRa,GPE,2
374,832,Tens of thousands,CARDINAL,1
375,839,The World Bank,ORG,1
376,798,Some 85 percent,PERCENT,1
377,840,The decade ahead,DATE,1
378,834,The Economist Intelligence Unit,ORG,1
379,824,"Technology, Media",ORG,1
380,835,The Global Information Technology Report,ORG,1
381,807,Star Trek,PRODUCT,1
382,842,Tilman Tacke,PERSON,1
383,843,Tim Beacom,PERSON,1
384,844,Tobias Härlin,PERSON,1
385,825,TeleTracking,ORG,1
386,802,Southern California,LOC,1
387,801,"South Korea
                    ",GPE,1
388,816,Tablets                     ,PRODUCT,1
389,817,Tablets                3,PRODUCT,1
390,1115,trillions,CARDINAL,1
391,799,"South Africa
                    ",GPE,1
392,845,Tobias Schneiderbauer,PERSON,1
393,805,Spectrum,PRODUCT,1
394,1111,three to five,CARDINAL,1
395,808,"States

                ",ORG,1
396,837,The Motley Fool,WORK_OF_ART,1
397,829,Telecommunications/How-We-,ORG,1
398,813,Sven,PERSON,1
399,812,Susan Lund,PERSON,1
400,821,"Tech, Media",ORG,1
401,836,The MGI Council,ORG,1
402,828,Telecommunications Practice,ORG,1
403,827,Telecommunications                Connectivity,ORG,1
404,811,Stephanie Lingemann,PERSON,1
405,1108,this trend).105 Third,EVENT,1
406,820,Tech giants,ORG,1
407,814,Sven Smit,PERSON,1
408,810,Stephanie Brauckmann,PERSON,1
409,809,Statista,PERSON,1
410,1109,thousands of miles,QUANTITY,1
411,1112,time.66,GPE,1
412,830,Telefónica,ORG,1
413,819,Tariff,ORG,1
414,818,Tarek Elmasry,PERSON,1
415,838,The Torrance Memorial Medical Center,FAC,1
416,831,Ten,CARDINAL,1
417,815,Sweden,GPE,1
418,1026,roughly half,CARDINAL,1
419,797,Some 400 million,CARDINAL,1
420,1132,world.72,ORG,1
421,1137,zero,CARDINAL,1
422,735,"Okan


",PERSON,1
423,736,Oliver Tonby,PERSON,1
424,737,Ondrej Burkacky,ORG,1
425,1136,yesterday,DATE,1
426,1134,yearly,DATE,1
427,740,Only 40 percent,PERCENT,1
428,1133,www.mckinsey.com/mgi/publications/multimedia/,PRODUCT,1
429,743,"Oxford Economics Ltd.
",ORG,1
430,728,OECD Digital Economy Papers,ORG,1
